document_id,full_reads_percent_predict
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,33.3410530090332
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,37.04449462890625
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,42.97566604614258
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,38.514339447021484
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,36.291019439697266
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,38.249664306640625
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,32.041358947753906
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,35.52693557739258
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,43.35942459106445
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,44.06188201904297
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,24.058443069458008
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,45.88008117675781
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,43.50617218017578
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,46.46758270263672
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,40.688568115234375
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,28.50688934326172
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,34.29404067993164
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,35.85809326171875
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,33.30742263793945
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,43.65327835083008
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,23.99994659423828
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,30.491456985473633
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,28.343910217285156
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,34.19325256347656
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,30.268526077270508
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,38.761505126953125
6285f5f59a7947c3b2a8a633mx7ro2gAQs-Tk3O4cA-nEA,34.63517379760742
6291024d9a7947525314e8eclvVdJRH1QHOmGq4O-wfRLg,45.69293975830078
620373b99a7947d1ef83e0dc0GrX5MFJR3WLzXKvgDNfYQ,51.7874641418457
62006d819a79474bf60f7e30l_p8Y0wrQS62brHwBRQSuw,26.536640167236328
6260fd8c9a79476a0ec6429cuoAF6odiR6mOkJHU0Ccu-g,39.18055725097656
6278383b9a79473e72e74cc2LahMlzNgTX2NIpfbBN5FAg,32.6431884765625
6280aff09a79479bd4248a75bTL_EABbTOOFv0cnkvMGYw,31.329965591430664
620293e59a7947947adda5fexMxkWattR_ewhI94MWFjLg,27.80975914001465
620ed6909a794742ae555982moNQgUFBThGnzHThdjnZ4Q,33.78504943847656
620662e39a79476def111924AM6L3b67QveW7bf4kmmnDw,31.06660270690918
626296869a7947044b196e4cZ7GzXpi2TV6UZ8v8Pkmvwg,29.72780990600586
61ff02d69a7947f5f9b72709cjnL4V-aT26UI7UwXLvprA,32.07112121582031
62453b479a7947ab176efdbbGuvZJAXKREinJX6EgY4QQg,38.70671844482422
6257ef009a79479f871e14b5rDrQJ01kQVme-mlTXcBi7A,35.284061431884766
62011dde9a79470a7b59492dwTE1up1VQpyuiIiGgPpTEg,38.82164001464844
