document_id,depth_predict
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,1.1589988470077515
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,1.135001301765442
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,1.1380068063735962
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,1.0479308366775513
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,1.0525037050247192
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,1.1936489343643188
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,1.0602505207061768
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,1.0573557615280151
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,1.1457148790359497
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,1.1661019325256348
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,1.0480695962905884
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,1.159030795097351
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,1.064850091934204
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,1.1937696933746338
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,1.144887089729309
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,1.0596418380737305
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,1.0573968887329102
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,1.0627285242080688
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,1.12345290184021
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,1.1753493547439575
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,1.1337162256240845
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,1.0608264207839966
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,1.169605016708374
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,1.0686699151992798
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,1.1617408990859985
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,1.1612554788589478
