document_id,depth_predict
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,1.1632906198501587
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,1.1379698514938354
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,1.1603858470916748
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,1.052769660949707
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,1.0542367696762085
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,1.174171805381775
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,1.058792233467102
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,1.0596946477890015
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,1.1427280902862549
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,1.1703212261199951
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,1.0514802932739258
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,1.1615656614303589
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,1.0604764223098755
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,1.1888611316680908
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,1.1518186330795288
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,1.061594009399414
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,1.0550789833068848
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,1.0607904195785522
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,1.1183074712753296
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,1.1683236360549927
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,1.125763177871704
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,1.053693175315857
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,1.160159945487976
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,1.0663774013519287
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,1.157700538635254
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,1.1499301195144653
6285f5f59a7947c3b2a8a633mx7ro2gAQs-Tk3O4cA-nEA,1.0524052381515503
6291024d9a7947525314e8eclvVdJRH1QHOmGq4O-wfRLg,1.0723538398742676
620373b99a7947d1ef83e0dc0GrX5MFJR3WLzXKvgDNfYQ,1.2237598896026611
62006d819a79474bf60f7e30l_p8Y0wrQS62brHwBRQSuw,1.1354515552520752
6260fd8c9a79476a0ec6429cuoAF6odiR6mOkJHU0Ccu-g,1.0644601583480835
6278383b9a79473e72e74cc2LahMlzNgTX2NIpfbBN5FAg,1.0520386695861816
6280aff09a79479bd4248a75bTL_EABbTOOFv0cnkvMGYw,1.06473970413208
620293e59a7947947adda5fexMxkWattR_ewhI94MWFjLg,1.1325327157974243
620ed6909a794742ae555982moNQgUFBThGnzHThdjnZ4Q,1.1785231828689575
620662e39a79476def111924AM6L3b67QveW7bf4kmmnDw,1.137200951576233
626296869a7947044b196e4cZ7GzXpi2TV6UZ8v8Pkmvwg,1.05149507522583
